Team,Player,Event,X,Y
Indonesia,Ryuji,Shot Off Target,68,68
Indonesia,Witan,Blocked Shot,79,72
Indonesia,Irianto,Goal,98,43
Indonesia,Witan,Blocked Shot,90,38
Indonesia,Evan,Goal,89,67
Indonesia,Irianto,Blocked Shot,92,45
Indonesia,Walian,Shot Off Target,82,61
Indonesia,Kambuaya,Shot Off Target,82,40
Indonesia,Irianto,Goal,98,59
Indonesia,Irfan,Shot Off Target,91,54
Indonesia,Walian,Shot Off Target,89,45
Indonesia,Evan,Shot On Target,82,53
Indonesia,Kambuaya,Blocked Shot,83,42
Indonesia,Witan,Blocked Shot,93,59
Indonesia,Rumakiek,Goal,87,31
Indonesia,Evan,Blocked Shot,79,46
Indonesia,Walian,Blocked Shot,90,61
Indonesia,Yudo,Shot Off Target,91,44
Indonesia,Irianto,Shot Off Target,75,60
Indonesia,Witan,Blocked Shot,77,46
Indonesia,Irianto,Shot Off Target,70,57
Indonesia,Evan,Shot On Target,77,64
Indonesia,Dewangga,Shot Off Target,70,52
Indonesia,Asnawi,Goal,89,50
Indonesia,Irfan,Goal,98,50
Indonesia,Evan,Shot Off Target,74,50
Indonesia,Dedik,Shot Off Target,92,49
Indonesia,Irfan,Shot Off Target,95,51
Indonesia,Irfan,Shot Off Target,80,33
Indonesia,Dewangga,Shot Off Target,69,50
Indonesia,Edo,Blocked Shot,82,34
Indonesia,Witan,Goal,87,38
Indonesia,Dewangga,Shot Off Target,74,53
Indonesia,Dedik,Shot On Target,57,13
Indonesia,Dedik,Shot Off Target,83,55
Indonesia,Dewangga,Blocked Shot,78,59
Indonesia,Witan,Shot Off Target,88,33
Indonesia,Evan,Shot Off Target,83,50
Indonesia,Rumakiek,Shot On Target,73,51
Indonesia,Baggott,Shot Off Target,97,47
Indonesia,Evan,Goal,94,58
Indonesia,Walian,Goal,93,57
Indonesia,Dewangga,Shot Off Target,75,39
Indonesia,Asnawi,Shot On Target,91,63
Indonesia,Walian,Shot Off Target,96,60
Indonesia,Dewangga,Blocked Shot,78,55
Indonesia,Walian,Blocked Shot,83,44
Indonesia,Arhan,Shot Off Target,83,36
Indonesia,Dewangga,Shot Off Target,96,35
Indonesia,Irfan,Blocked Shot,86,48
Indonesia,Witan,Blocked Shot,84,65
Indonesia,Walian,Blocked Shot,93,50
Indonesia,Arhan,Shot Off Target,79,54
Indonesia,Irfan,Blocked Shot,87,39
Indonesia,Walian,Blocked Shot,91,57
Indonesia,Irfan,Goal,92,48
Indonesia,Rumakiek,Shot Off Target,87,31
Indonesia,Arhan,Shot On Target,76,41
Indonesia,Arhan,Blocked Shot,90,36
Indonesia,Irfan,Goal,98,55
Indonesia,Fachrudin,Shot Off Target,97,35
Indonesia,Kambuaya,Blocked Shot,73,49
Indonesia,Arhan,Goal,83,31
Indonesia,Irianto,Blocked Shot,73,53
Indonesia,Irfan,Shot Off Target,92,42
Indonesia,Irfan,Blocked Shot,89,35
Indonesia,Baggott,Shot Off Target,89,49
Indonesia,Baggott,Goal,97,50
Indonesia,Evan,Shot Off Target,89,63
Indonesia,Kambuaya,Shot Blocked,96,38
Indonesia,Witan,Shot Off Target,87,45
Indonesia,Dewangga,Shot Blocked,74,64
Indonesia,Witan,Goal,89,60
Indonesia,Dedik,Shot Blocked,96,35
Indonesia,Witan,Shot Off Target,96,35
Indonesia,Irfan,Shot Blocked,88,35
Indonesia,Evan,Shot Blocked,94,21
Indonesia,Baggott,Shot Off Target,97,44
Indonesia,Sagara,Shot On Target,78,47
Indonesia,Kambuaya,Blocked Shot,89,66
Indonesia,Arhan,Blocked Shot,79,38
Indonesia,Dewangga,Shot Off Target,77,61
Indonesia,Fachruddin,Blocked Shot,87,50
Indonesia,Walian,Goal,95,54
Indonesia,Kambuaya,Shot Off Target,90,68
Indonesia,Dewangga,Shot Off Target,70,28
Indonesia,Dewangga,Shot On Target,78,55
Indonesia,Rumakiek,Shot On Target,81,33
Indonesia,Walian,Blocked Shot,87,53
Indonesia,Kambuaya,Shot Off Target,82,61
Indonesia,Walian,Shot Off Target,86,35
Indonesia,Ridho,Shot Off Target,89,46
Indonesia,Sagara,Shot Off Target,84,68
Indonesia,Irianto,Blocked Shot,81,59
Indonesia,Sagara,Blocked Shot,93,39
Indonesia,Irfan,Blocked Shot,81,36
Indonesia,Irianto,Shot Off Target,73,54
Indonesia,Witan,Shot On Target,90,59
Indonesia,Arhan,Goal,98,59
Indonesia,Irfan,Shot On Target,89,49
Indonesia,Irfan,Shot Off Target,93,35
Indonesia,Egy,Blocked Shot,81,35
Indonesia,Sagara,Blocked Shot,83,55
Indonesia,Evan,Shot On Target,94,49
Indonesia,Egy,Shot Off Target,79,68
Indonesia,Irfan,Shot On Target,93,42
Indonesia,Irfan,Shot On Target,93,33
Indonesia,Arhan,Shot On Target,83,33
Indonesia,Dewangga,Shot Off Target,72,46
Indonesia,Irfan,Shot On Target,93,38
Indonesia,Egy,Goal,98,45
Indonesia,Irfan,Shot On Target,85,43
Indonesia,Kadek Agung,Shot On Target,77,43
Indonesia,Evan,Blocked Shot,93,67
Indonesia,Asnawi,Shot Off Target,81,58
Indonesia,Dewangga,Shot Off Target,92,61
Indonesia,Irfan,Shot On Target,91,39
Indonesia,Dedik,Shot Off Target,90,72
Indonesia,Kambuaya,Goal,81,36
Indonesia,Witan,Blocked Shot,93,50
Indonesia,Dewangga,Blocked Shot,79,65
Indonesia,Dewangga,Shot Off Target,94,42
Indonesia,Sagara,Shot Off Target,87,54
Indonesia,Sagara,Shot Off Target,90,37
Indonesia,Egy,Goal,88,26
